Latitude (decimal degrees):	50.763
Longitude (decimal degrees):	6.074
Elevation (m):	190
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	20.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200319:1710,195.6,23.7,4.82,11.92,1.86,0.0
20200319:1810,0.0,0.0,0.0,11.19,1.93,0.0
20200319:1910,0.0,0.0,0.0,10.38,2.28,0.0
20200319:2010,0.0,0.0,0.0,9.85,2.07,0.0
20200319:2110,0.0,0.0,0.0,9.39,1.86,0.0
20200319:2210,0.0,0.0,0.0,9.12,1.59,0.0
20200319:2310,0.0,0.0,0.0,8.62,1.59,0.0
20200320:0010,0.0,0.0,0.0,8.31,1.59,0.0
20200320:0110,0.0,0.0,0.0,7.84,1.66,0.0
20200320:0210,0.0,0.0,0.0,7.3,1.66,0.0
20200320:0310,0.0,0.0,0.0,6.88,1.79,0.0
20200320:0410,0.0,0.0,0.0,6.97,2.0,0.0
20200320:0510,0.0,0.0,0.0,6.85,2.07,0.0
20200320:0610,38.2,9.88,4.15,6.6,2.0,0.0
20200320:0710,543.4,45.82,13.44,6.92,2.07,0.0
20200320:0810,1752.4,117.01,22.11,7.12,2.34,0.0
20200320:0910,3391.8,208.99,29.65,7.19,2.69,0.0
20200320:1010,1576.2,106.92,35.39,7.21,3.31,0.0
20200320:1110,1342.8,93.45,38.6,7.07,3.52,0.0
20200320:1210,1405.0,97.04,38.76,7.21,4.0,0.0
20200320:1310,1172.4,83.56,35.83,7.11,3.86,0.0
20200320:1410,1110.6,79.97,30.31,7.07,3.38,0.0
20200320:1510,674.2,53.91,22.92,6.97,3.45,0.0
20200320:1610,431.6,38.64,14.33,6.55,3.72,0.0
20200320:1710,12.8,7.19,5.08,6.07,3.93,0.0
20200320:1810,0.0,0.0,0.0,5.53,4.34,0.0
20200320:1910,0.0,0.0,0.0,5.08,4.62,0.0
20200320:2010,0.0,0.0,0.0,4.67,4.41,0.0
20200320:2110,0.0,0.0,0.0,4.07,4.69,0.0
20200320:2210,0.0,0.0,0.0,3.59,4.97,0.0
20200320:2310,0.0,0.0,0.0,3.06,5.17,0.0
20200321:0010,0.0,0.0,0.0,2.62,5.03,0.0
20200321:0110,0.0,0.0,0.0,2.4,4.97,0.0
20200321:0210,0.0,0.0,0.0,2.3,4.76,0.0
20200321:0310,0.0,0.0,0.0,2.3,4.76,0.0
20200321:0410,0.0,0.0,0.0,2.36,4.62,0.0
20200321:0510,0.0,0.0,0.0,2.39,4.76,0.0
20200321:0610,179.2,21.79,4.51,2.26,4.83,0.0
20200321:0710,3241.2,199.45,13.8,2.71,5.79,0.0
20200321:0810,8062.2,458.3,22.49,3.19,6.14,0.0
20200321:0910,8994.4,511.0,30.04,4.3,6.62,0.0
20200321:1010,2239.4,142.86,35.79,5.2,6.48,0.0
20200321:1110,1430.2,97.94,39.01,6.23,6.48,0.0
20200321:1210,2689.2,168.92,39.15,6.85,6.55,0.0
20200321:1310,10548.0,608.65,36.19,7.52,6.69,0.0
20200321:1410,6626.2,386.17,30.63,7.58,6.55,0.0
20200321:1510,8873.0,514.46,23.21,7.49,6.48,0.0
20200321:1610,4036.6,253.37,14.6,7.32,6.34,0.0
20200321:1710,506.8,59.43,5.34,6.53,5.66,0.0
20200321:1810,0.0,0.0,0.0,5.41,5.38,0.0
20200321:1910,0.0,0.0,0.0,4.13,5.17,0.0
20200321:2010,0.0,0.0,0.0,3.21,5.38,0.0
20200321:2110,0.0,0.0,0.0,2.39,5.45,0.0
20200321:2210,0.0,0.0,0.0,1.72,5.31,0.0
20200321:2310,0.0,0.0,0.0,1.18,5.24,0.0
20200322:0010,0.0,0.0,0.0,0.76,5.17,0.0
20200322:0110,0.0,0.0,0.0,0.5,5.03,0.0
20200322:0210,0.0,0.0,0.0,0.16,4.97,0.0
20200322:0310,0.0,0.0,0.0,-0.15,4.97,0.0
20200322:0410,0.0,0.0,0.0,-0.46,5.03,0.0
20200322:0510,0.0,0.0,0.0,-0.71,5.1,0.0
20200322:0610,436.0,42.22,4.86,-0.85,5.1,0.0
20200322:0710,6390.4,376.65,14.16,0.07,5.1,0.0
20200322:0810,11604.0,652.58,22.86,1.25,6.28,0.0
20200322:0910,14827.6,842.94,30.43,2.71,6.41,0.0
20200322:1010,18106.2,1052.53,36.19,4.22,6.34,0.0
20200322:1110,19040.4,1121.64,39.41,5.56,6.34,0.0
20200322:1210,18239.6,1076.45,39.53,6.61,6.34,0.0
20200322:1310,17596.2,1036.71,36.54,7.32,6.28,0.0
20200322:1410,14397.4,838.33,30.95,7.63,6.14,0.0
20200322:1510,10304.4,598.8,23.5,7.53,6.0,0.0
20200322:1610,5285.2,329.61,14.87,7.01,5.59,0.0
20200322:1710,581.2,73.25,5.6,5.98,5.1,0.0
20200322:1810,0.0,0.0,0.0,4.55,5.1,0.0
20200322:1910,0.0,0.0,0.0,3.99,5.45,0.0
20200322:2010,0.0,0.0,0.0,3.24,5.52,0.0
20200322:2110,0.0,0.0,0.0,2.59,5.59,0.0
20200322:2210,0.0,0.0,0.0,1.97,5.52,0.0
20200322:2310,0.0,0.0,0.0,1.38,5.52,0.0
20200323:0010,0.0,0.0,0.0,0.84,5.52,0.0
20200323:0110,0.0,0.0,0.0,0.35,5.45,0.0
20200323:0210,0.0,0.0,0.0,-0.12,5.31,0.0
20200323:0310,0.0,0.0,0.0,-0.57,5.24,0.0
20200323:0410,0.0,0.0,0.0,-0.98,5.24,0.0
20200323:0510,0.0,0.0,0.0,-1.3,5.17,0.0
20200323:0610,494.6,46.02,5.22,-1.49,5.17,0.0
20200323:0710,6396.8,374.65,14.52,-0.98,5.17,0.0
20200323:0810,10934.4,612.35,23.23,0.3,6.14,0.0
20200323:0910,14672.8,831.87,30.81,1.96,6.21,0.0
20200323:1010,17666.6,1025.89,36.59,3.67,5.93,0.0
20200323:1110,18492.8,1091.1,39.81,5.27,5.72,0.0
20200323:1210,17999.8,1068.47,39.92,6.45,5.45,0.0
20200323:1310,16971.8,1005.65,36.9,7.21,5.24,0.0
20200323:1410,14122.0,826.81,31.27,7.49,5.1,0.0
20200323:1510,10038.4,585.89,23.79,7.4,4.9,0.0
20200323:1610,5162.0,322.41,15.14,6.81,4.55,0.0
20200323:1710,718.2,78.94,5.86,5.7,4.14,0.0
20200323:1810,0.0,0.0,0.0,4.09,4.28,0.0
20200323:1910,0.0,0.0,0.0,3.28,4.69,0.0
20200323:2010,0.0,0.0,0.0,2.59,4.9,0.0
20200323:2110,0.0,0.0,0.0,2.06,4.97,0.0
20200323:2210,0.0,0.0,0.0,1.61,4.83,0.0
20200323:2310,0.0,0.0,0.0,1.23,4.69,0.0
20200324:0010,0.0,0.0,0.0,0.89,4.41,0.0
20200324:0110,0.0,0.0,0.0,0.58,4.28,0.0
20200324:0210,0.0,0.0,0.0,0.29,4.14,0.0
20200324:0310,0.0,0.0,0.0,-0.05,3.86,0.0
20200324:0410,0.0,0.0,0.0,-0.44,3.79,0.0
20200324:0510,0.0,0.0,0.0,-0.76,3.86,0.0
20200324:0610,534.6,48.81,5.57,-0.91,3.86,0.0
20200324:0710,6130.8,362.77,14.88,0.18,3.45,0.0
20200324:0810,10708.2,609.9,23.61,1.91,4.14,0.0
20200324:0910,14231.4,822.47,31.2,3.59,4.34,0.0
20200324:1010,17038.0,1006.39,36.99,5.08,4.48,0.0
20200324:1110,17891.0,1070.05,40.21,6.32,4.55,0.0
20200324:1210,17328.2,1039.13,40.3,7.29,4.48,0.0
20200324:1310,16347.6,977.42,37.25,7.94,4.34,0.0
20200324:1410,13623.4,803.96,31.59,8.19,4.28,0.0
20200324:1510,9896.6,581.59,24.08,8.05,4.14,0.0
20200324:1610,5008.8,314.6,15.41,7.46,3.79,0.0
20200324:1710,707.8,76.06,6.12,6.32,3.38,0.0
20200324:1810,0.0,0.0,0.0,4.55,3.59,0.0
20200324:1910,0.0,0.0,0.0,3.62,3.86,0.0
20200324:2010,0.0,0.0,0.0,2.92,4.14,0.0
20200324:2110,0.0,0.0,0.0,2.42,4.28,0.0
20200324:2210,0.0,0.0,0.0,2.02,4.34,0.0
20200324:2310,0.0,0.0,0.0,1.67,4.21,0.0
20200325:0010,0.0,0.0,0.0,1.23,3.93,0.0
20200325:0110,0.0,0.0,0.0,0.69,3.72,0.0
20200325:0210,0.0,0.0,0.0,0.11,3.66,0.0
20200325:0310,0.0,0.0,0.0,-0.47,3.59,0.0
20200325:0410,0.0,0.0,0.0,-1.07,3.52,0.0
20200325:0510,0.0,0.0,0.0,-1.56,3.24,0.0
20200325:0610,649.6,56.29,5.93,-1.84,2.97,0.0
20200325:0710,6446.8,381.22,15.24,-0.26,2.83,0.0
20200325:0810,11004.8,630.82,23.98,1.71,3.17,0.0
20200325:0910,14626.2,853.24,31.59,3.41,3.45,0.0
20200325:1010,17276.4,1032.55,37.39,4.86,3.52,0.0
20200325:1110,18116.4,1098.14,40.61,6.07,3.52,0.0
20200325:1210,17865.0,1082.1,40.69,6.98,3.79,0.0
20200325:1310,16939.6,1016.39,37.6,7.56,4.14,0.0
20200325:1410,13986.4,824.89,31.91,7.88,4.34,0.0
20200325:1510,10140.0,594.62,24.37,7.9,4.48,0.0
20200325:1610,5376.6,337.69,15.67,7.64,4.34,0.0
20200325:1710,739.8,80.99,6.37,6.78,3.59,0.0
20200325:1810,0.0,0.0,0.0,5.28,3.45,0.0
20200325:1910,0.0,0.0,0.0,5.06,3.86,0.0
20200325:2010,0.0,0.0,0.0,4.22,4.07,0.0
20200325:2110,0.0,0.0,0.0,3.21,3.93,0.0
20200325:2210,0.0,0.0,0.0,2.34,3.59,0.0
20200325:2310,0.0,0.0,0.0,1.44,3.38,0.0
20200326:0010,0.0,0.0,0.0,0.68,3.17,0.0
20200326:0110,0.0,0.0,0.0,-0.07,2.97,0.0
20200326:0210,0.0,0.0,0.0,-0.72,2.9,0.0
20200326:0310,0.0,0.0,0.0,-1.25,2.9,0.0
20200326:0410,0.0,0.0,0.0,-1.56,3.03,0.0
20200326:0510,0.0,0.0,0.0,-1.67,3.24,0.0
20200326:0610,1240.0,104.23,6.28,-1.49,3.38,0.0
20200326:0710,6296.4,371.77,15.61,0.04,3.24,0.0
20200326:0810,10964.8,623.56,24.35,1.77,4.34,0.0
20200326:0910,14647.4,842.07,31.97,3.29,5.03,0.0
20200326:1010,17201.4,1010.49,37.79,4.63,4.9,0.0
20200326:1110,18247.8,1088.69,41.01,5.76,4.69,0.0
20200326:1210,17831.0,1066.32,41.07,6.65,4.69,0.0
20200326:1310,16732.8,993.83,37.95,7.35,4.9,0.0
20200326:1410,13932.2,817.5,32.22,7.91,4.97,0.0
20200326:1510,9971.8,584.11,24.65,8.19,4.9,0.0
20200326:1610,5028.0,315.64,15.94,8.03,4.83,0.0
20200326:1710,711.4,70.47,6.63,7.27,3.52,0.0
20200326:1810,0.0,0.0,0.0,6.08,3.17,0.0
20200326:1910,0.0,0.0,0.0,4.94,2.76,0.0
20200326:2010,0.0,0.0,0.0,4.05,2.76,0.0
20200326:2110,0.0,0.0,0.0,3.33,2.76,0.0
20200326:2210,0.0,0.0,0.0,2.67,2.69,0.0
20200326:2310,0.0,0.0,0.0,2.06,2.69,0.0
20200327:0010,0.0,0.0,0.0,1.57,2.76,0.0
20200327:0110,0.0,0.0,0.0,1.21,2.69,0.0
20200327:0210,0.0,0.0,0.0,0.87,2.62,0.0
20200327:0310,0.0,0.0,0.0,0.55,2.55,0.0
20200327:0410,0.0,0.0,0.0,0.26,2.41,0.0
20200327:0510,0.0,0.0,0.0,0.0,2.41,0.0
20200327:0610,1114.0,92.95,6.64,0.0,2.34,0.0
20200327:0710,5524.4,331.04,15.96,1.72,1.86,0.0
20200327:0810,9830.0,571.59,24.72,4.07,2.34,0.0
20200327:0910,13376.4,788.72,32.36,5.9,2.97,0.0
20200327:1010,15904.0,957.35,38.18,7.54,3.31,0.0
20200327:1110,16920.8,1032.33,41.41,9.02,3.52,0.0
20200327:1210,16852.4,1031.43,41.45,10.26,3.72,0.0
20200327:1310,15501.4,940.84,38.3,11.21,4.0,0.0
20200327:1410,12785.2,766.2,32.54,11.86,4.14,0.0
20200327:1510,9108.4,545.63,24.93,12.14,4.0,0.0
20200327:1610,4473.2,287.83,16.2,12.21,3.59,0.0
20200327:1710,707.6,73.66,6.88,11.5,2.55,0.0
20200327:1810,0.0,0.0,0.0,9.86,2.34,0.0
20200327:1910,0.0,0.0,0.0,8.78,2.48,0.0
20200327:2010,0.0,0.0,0.0,7.77,2.48,0.0
20200327:2110,0.0,0.0,0.0,6.89,2.55,0.0
20200327:2210,0.0,0.0,0.0,6.21,2.55,0.0
20200327:2310,0.0,0.0,0.0,5.56,2.41,0.0
20200328:0010,0.0,0.0,0.0,4.8,2.28,0.0
20200328:0110,0.0,0.0,0.0,3.9,2.07,0.0
20200328:0210,0.0,0.0,0.0,3.05,1.93,0.0
20200328:0310,0.0,0.0,0.0,2.4,2.07,0.0
20200328:0410,0.0,0.0,0.0,2.03,2.34,0.0
20200328:0510,0.0,0.0,0.0,1.76,2.34,0.0
20200328:0610,1236.0,102.63,6.99,1.64,2.07,0.0
20200328:0710,5754.6,348.74,16.32,4.46,1.86,0.0
20200328:0810,10077.6,591.87,25.09,6.87,2.83,0.0
20200328:0910,13550.0,806.24,32.74,8.4,3.38,0.0
20200328:1010,15948.8,969.33,38.58,9.96,3.59,0.0
20200328:1110,17008.0,1043.12,41.81,11.23,4.07,0.0
20200328:1210,17033.0,1041.87,41.83,11.94,4.62,0.0
20200328:1310,15532.6,937.4,38.65,12.11,5.1,0.0
20200328:1410,13020.6,774.77,32.85,11.89,5.24,0.0
20200328:1510,9227.6,547.6,25.22,11.38,5.17,0.0
20200328:1610,4677.0,297.53,16.46,10.64,4.97,0.0
20200328:1710,736.8,75.62,7.14,9.61,4.41,0.0
20200328:1810,0.0,0.0,0.0,8.06,4.34,0.0
20200328:1910,0.0,0.0,0.0,6.69,4.83,0.0
20200328:2010,0.0,0.0,0.0,5.59,5.17,0.0
20200328:2110,0.0,0.0,0.0,4.47,5.17,0.0
20200328:2210,0.0,0.0,0.0,3.66,4.9,0.0
20200328:2310,0.0,0.0,0.0,2.99,4.48,0.0
20200329:0010,0.0,0.0,0.0,2.5,4.34,0.0
20200329:0110,0.0,0.0,0.0,2.14,4.14,0.0
20200329:0210,0.0,0.0,0.0,1.99,4.07,0.0
20200329:0310,0.0,0.0,0.0,1.62,3.72,0.0
20200329:0410,0.0,0.0,0.0,1.51,3.72,0.0
20200329:0510,0.0,0.0,0.0,1.28,3.93,0.0
20200329:0610,1011.2,81.8,7.34,1.29,3.86,0.0
20200329:0710,2016.2,129.36,16.68,1.78,4.41,0.0
20200329:0810,3976.4,234.89,25.46,2.51,6.69,0.0
20200329:0910,3720.0,221.57,33.13,2.68,7.17,0.0
20200329:1010,1707.4,112.31,38.98,3.33,6.76,0.0
20200329:1110,1811.4,118.6,42.2,4.34,6.41,0.0
20200329:1210,1804.6,118.6,42.21,5.14,6.48,0.0
20200329:1310,2070.8,132.98,39.0,4.31,6.83,0.0
20200329:1410,1036.2,74.58,33.16,3.99,6.48,0.0
20200329:1510,1720.8,113.21,25.5,3.63,6.55,0.0
20200329:1610,931.2,68.29,16.72,3.29,6.21,0.0
20200329:1710,463.4,41.24,7.39,2.56,6.48,0.0
20200329:1810,0.0,0.0,0.0,1.81,5.93,0.0
20200329:1910,0.0,0.0,0.0,1.74,5.17,0.0
20200329:2010,0.0,0.0,0.0,1.36,5.17,0.0
20200329:2110,0.0,0.0,0.0,0.67,4.97,0.0
20200329:2210,0.0,0.0,0.0,0.0,4.69,0.0
20200329:2310,0.0,0.0,0.0,-0.67,4.41,0.0
20200330:0010,0.0,0.0,0.0,-1.34,4.14,0.0
20200330:0110,0.0,0.0,0.0,-1.96,3.72,0.0
20200330:0210,0.0,0.0,0.0,-2.58,3.24,0.0
20200330:0310,0.0,0.0,0.0,-3.15,2.83,0.0
20200330:0410,0.0,0.0,0.0,-3.62,2.62,0.0
20200330:0510,0.0,0.0,0.0,-3.94,2.41,0.0
20200330:0610,1650.0,133.11,7.69,-3.91,2.07,0.0
20200330:0710,6682.2,391.45,17.04,-2.36,1.93,0.0
20200330:0810,11078.4,634.36,25.83,-0.46,2.07,0.0
20200330:0910,14456.6,843.87,33.51,1.17,2.34,0.0
20200330:1010,16820.0,1002.96,39.37,2.39,2.55,0.0
20200330:1110,17384.6,1046.49,42.6,3.43,2.69,0.0
20200330:1210,14634.0,868.81,42.59,4.44,2.76,0.0
20200330:1310,9343.2,544.47,39.34,5.38,2.97,0.0
20200330:1410,6155.8,361.68,33.47,5.96,3.17,0.0
20200330:1510,4697.8,280.83,25.78,6.12,2.97,0.0
20200330:1610,1433.2,98.48,16.98,5.93,3.03,0.0
20200330:1710,337.6,32.35,7.64,5.34,2.07,0.0
20200330:1810,0.0,0.0,0.0,4.11,2.0,0.0
20200330:1910,0.0,0.0,0.0,3.26,1.79,0.0
20200330:2010,0.0,0.0,0.0,2.51,1.79,0.0
20200330:2110,0.0,0.0,0.0,1.9,1.72,0.0
20200330:2210,0.0,0.0,0.0,1.35,1.52,0.0
20200330:2310,0.0,0.0,0.0,0.41,1.59,0.0
20200331:0010,0.0,0.0,0.0,-0.05,1.66,0.0
20200331:0110,0.0,0.0,0.0,-0.33,2.0,0.0
20200331:0210,0.0,0.0,0.0,0.38,2.14,0.0
20200331:0310,0.0,0.0,0.0,0.69,2.41,0.0
20200331:0410,0.0,0.0,0.0,0.57,3.17,0.0
20200331:0510,0.0,0.0,0.0,0.2,3.59,0.0
20200331:0610,524.4,44.19,8.04,-0.04,3.52,0.0
20200331:0710,1673.6,109.73,17.39,0.61,3.1,0.0
20200331:0810,4500.8,263.93,26.19,1.48,3.1,0.0
20200331:0910,8684.4,498.1,33.89,2.64,3.17,0.0
20200331:1010,12093.2,703.02,39.76,4.05,3.31,0.0
20200331:1110,17884.2,1078.57,42.99,4.91,3.31,0.0
20200331:1210,17755.0,1075.25,42.96,5.54,3.17,0.0
20200331:1310,16355.4,981.39,39.69,5.98,3.17,0.0
20200331:1410,13863.4,817.94,33.77,6.2,3.31,0.0
20200331:1510,10015.4,586.4,26.05,6.26,3.45,0.0
20200331:1610,5234.4,326.9,17.24,5.83,3.45,0.0
20200331:1710,826.4,89.17,7.89,5.16,2.97,0.0
20200331:1810,0.0,0.0,0.0,3.83,2.48,0.0
20200331:1910,0.0,0.0,0.0,3.08,2.48,0.0
20200331:2010,0.0,0.0,0.0,2.06,2.41,0.0
20200331:2110,0.0,0.0,0.0,1.15,2.21,0.0
20200331:2210,0.0,0.0,0.0,0.25,2.0,0.0
20200331:2310,0.0,0.0,0.0,-0.88,1.66,0.0
20200401:0010,0.0,0.0,0.0,-1.41,1.38,0.0
20200401:0110,0.0,0.0,0.0,-1.7,1.31,0.0
20200401:0210,0.0,0.0,0.0,-2.47,1.45,0.0
20200401:0310,0.0,0.0,0.0,-3.17,1.52,0.0
20200401:0410,0.0,0.0,0.0,-3.61,1.52,0.0
20200401:0510,0.0,0.0,0.0,-3.85,1.52,0.0
20200401:0610,1748.0,138.7,8.39,-3.07,1.24,0.0
20200401:0710,6602.2,395.45,17.75,0.39,0.41,0.0
20200401:0810,10731.0,636.91,26.56,3.16,0.55,0.0
20200401:0910,14093.8,850.38,34.27,4.57,1.24,0.0
20200401:1010,16325.6,1009.0,40.16,5.56,1.38,0.0
20200401:1110,17243.0,1083.44,43.39,6.3,1.31,0.0
20200401:1210,17169.6,1079.88,43.34,6.97,1.38,0.0
20200401:1310,15764.0,977.46,40.03,7.46,1.45,0.0
20200401:1410,13141.6,797.79,34.08,7.75,1.45,0.0
20200401:1510,9607.2,574.56,26.33,7.74,1.66,0.0
20200401:1610,5031.8,318.24,17.5,7.42,1.93,0.0
20200401:1710,854.0,89.34,8.14,6.67,1.79,0.0
20200401:1810,0.0,0.0,0.0,5.27,1.79,0.0
20200401:1910,0.0,0.0,0.0,4.04,2.0,0.0
20200401:2010,0.0,0.0,0.0,2.51,1.79,0.0
20200401:2110,0.0,0.0,0.0,1.47,1.38,0.0
20200401:2210,0.0,0.0,0.0,2.53,0.97,0.0
20200401:2310,0.0,0.0,0.0,2.39,0.69,0.0
20200402:0010,0.0,0.0,0.0,1.97,0.62,0.0
20200402:0110,0.0,0.0,0.0,1.56,0.41,0.0
20200402:0210,0.0,0.0,0.0,1.14,0.21,0.0
20200402:0310,0.0,0.0,0.0,0.82,0.14,0.0
20200402:0410,0.0,0.0,0.0,0.66,0.21,0.0
20200402:0510,0.0,0.0,0.0,-0.53,1.1,0.0
20200402:0610,1723.0,134.77,8.74,-1.01,1.1,0.0
20200402:0710,6149.2,369.55,18.1,1.83,0.55,0.0
20200402:0810,10227.2,604.27,26.92,3.59,0.83,0.0
20200402:0910,12426.0,743.48,34.65,5.08,1.24,0.0
20200402:1010,12808.6,767.75,40.55,6.3,1.86,0.0
20200402:1110,10744.8,638.01,43.78,7.4,2.41,0.0
20200402:1210,9861.2,581.83,43.71,7.64,3.03,0.0
20200402:1310,13229.4,784.09,40.37,7.59,3.59,0.0
20200402:1410,11501.4,674.01,34.38,7.49,3.93,0.0
20200402:1510,8889.0,520.32,26.61,7.16,4.07,0.0
20200402:1610,4984.0,311.79,17.76,6.8,3.93,0.0
20200402:1710,626.0,52.94,8.39,6.43,3.38,0.0
20200402:1810,0.0,0.0,0.0,5.87,3.17,0.0
20200402:1910,0.0,0.0,0.0,5.58,3.24,0.0
20200402:2010,0.0,0.0,0.0,5.28,3.1,0.0
20200402:2110,0.0,0.0,0.0,4.86,3.03,0.0
20200402:2210,0.0,0.0,0.0,4.5,3.24,0.0
20200402:2310,0.0,0.0,0.0,4.52,3.66,0.0
20200403:0010,0.0,0.0,0.0,4.55,4.0,0.0
20200403:0110,0.0,0.0,0.0,4.69,4.14,0.0
20200403:0210,0.0,0.0,0.0,4.61,3.93,0.0
20200403:0310,0.0,0.0,0.0,4.34,3.66,0.0
20200403:0410,0.0,0.0,0.0,4.35,3.45,0.0
20200403:0510,0.0,0.0,0.0,4.02,3.38,0.0
20200403:0610,966.0,74.81,9.09,4.0,3.24,0.0
20200403:0710,5776.6,346.21,18.45,4.71,3.31,0.0
20200403:0810,10137.8,589.54,27.28,6.06,3.72,0.0
20200403:0910,2419.0,154.54,35.02,7.37,4.41,0.0
20200403:1010,2521.6,160.83,40.93,8.27,4.83,0.0
20200403:1110,3763.6,230.62,44.17,8.47,5.1,0.0
20200403:1210,5427.4,324.46,44.09,8.93,4.9,0.0
20200403:1310,1578.6,107.82,40.71,9.29,4.83,0.0
20200403:1410,2668.4,169.56,34.69,9.04,4.97,0.0
20200403:1510,2929.2,183.85,26.88,8.63,4.69,0.0
20200403:1610,2214.0,144.95,18.01,8.35,4.34,0.0
20200403:1710,872.4,89.18,8.63,7.63,3.45,0.0
20200403:1810,0.0,0.0,0.0,6.55,2.76,0.0
20200403:1910,0.0,0.0,0.0,4.98,2.21,0.0
20200403:2010,0.0,0.0,0.0,3.9,1.79,0.0
20200403:2110,0.0,0.0,0.0,2.58,1.38,0.0
20200403:2210,0.0,0.0,0.0,2.79,1.03,0.0
20200403:2310,0.0,0.0,0.0,1.58,1.24,0.0
20200404:0010,0.0,0.0,0.0,0.15,1.59,0.0
20200404:0110,0.0,0.0,0.0,-0.72,1.66,0.0
20200404:0210,0.0,0.0,0.0,-1.7,1.72,0.0
20200404:0310,0.0,0.0,0.0,-2.42,1.72,0.0
20200404:0410,0.0,0.0,0.0,-2.85,1.79,0.0
20200404:0510,0.0,0.0,0.0,-3.03,1.86,0.0
20200404:0610,1891.6,145.36,9.43,-1.99,1.59,0.0
20200404:0710,6544.0,392.82,18.8,3.24,1.45,0.0
20200404:0810,10998.2,650.95,27.64,6.29,2.0,0.0
20200404:0910,13901.8,840.49,35.4,7.82,2.07,0.0
20200404:1010,16076.2,1001.02,41.32,8.9,1.79,0.0
20200404:1110,16833.2,1066.26,44.56,9.87,1.66,0.0
20200404:1210,16297.4,1039.17,44.46,10.83,1.38,0.0
20200404:1310,14961.6,946.75,41.04,11.56,1.24,0.0
20200404:1410,12679.8,788.32,34.99,12.44,1.31,0.0
20200404:1510,9432.2,580.05,27.15,12.73,1.31,0.0
20200404:1610,5056.8,329.16,18.27,12.5,1.45,0.0
20200404:1710,865.0,91.94,8.88,11.79,1.24,0.0
20200404:1810,0.0,0.0,0.0,10.01,1.79,0.0
20200404:1910,0.0,0.0,0.0,8.08,2.62,0.0
20200404:2010,0.0,0.0,0.0,6.89,2.62,0.0
20200404:2110,0.0,0.0,0.0,6.09,2.83,0.0
20200404:2210,0.0,0.0,0.0,5.61,2.9,0.0
20200404:2310,0.0,0.0,0.0,5.24,2.9,0.0
20200405:0010,0.0,0.0,0.0,4.99,2.9,0.0
20200405:0110,0.0,0.0,0.0,4.99,3.1,0.0
20200405:0210,0.0,0.0,0.0,5.09,3.31,0.0
20200405:0310,0.0,0.0,0.0,5.16,3.38,0.0
20200405:0410,0.0,0.0,0.0,5.16,3.45,0.0
20200405:0510,0.0,0.0,0.0,5.12,3.59,0.0
20200405:0610,1930.6,152.09,9.77,5.63,3.66,0.0
20200405:0710,6713.6,406.01,19.15,8.11,4.28,0.0
20200405:0810,11128.4,658.87,28.0,10.44,4.48,0.0
20200405:0910,14490.8,872.67,35.77,12.49,4.9,0.0
20200405:1010,16654.2,1022.75,41.71,14.07,5.1,0.0
20200405:1110,17263.2,1071.94,44.94,15.29,5.17,0.0
20200405:1210,17215.6,1074.27,44.82,16.23,5.1,0.0
20200405:1310,15661.8,972.46,41.38,16.91,4.9,0.0
20200405:1410,13347.8,820.6,35.29,17.24,4.69,0.0
20200405:1510,9610.6,589.52,27.42,17.23,4.41,0.0
20200405:1610,5106.6,335.65,18.52,16.75,3.79,0.0
20200405:1710,870.0,94.68,9.13,15.49,3.52,0.0
20200405:1810,0.0,0.0,0.0,13.45,3.59,0.0
20200405:1910,0.0,0.0,0.0,12.44,4.07,0.0
20200405:2010,0.0,0.0,0.0,11.62,4.21,0.0
20200405:2110,0.0,0.0,0.0,10.99,4.28,0.0
20200405:2210,0.0,0.0,0.0,10.61,4.34,0.0
20200405:2310,0.0,0.0,0.0,10.32,4.21,0.0
20200406:0010,0.0,0.0,0.0,10.13,4.21,0.0
20200406:0110,0.0,0.0,0.0,9.99,4.28,0.0
20200406:0210,0.0,0.0,0.0,9.93,4.34,0.0
20200406:0310,0.0,0.0,0.0,9.94,4.41,0.0
20200406:0410,0.0,0.0,0.0,9.84,4.55,0.0
20200406:0510,0.0,0.0,0.0,9.59,4.69,0.0
20200406:0610,1919.2,152.41,10.12,9.64,4.76,0.0
20200406:0710,6646.8,406.82,19.49,10.95,4.48,0.0
20200406:0810,10910.6,652.86,28.35,12.87,4.55,0.0
20200406:0910,14034.6,851.93,36.14,14.56,4.97,0.0
20200406:1010,16244.8,1005.89,42.09,15.85,4.97,0.0
20200406:1110,17206.0,1082.57,45.33,16.97,4.69,0.0
20200406:1210,16997.2,1077.13,45.19,18.02,4.41,0.0
20200406:1310,15416.8,968.44,41.71,18.66,4.48,0.0
20200406:1410,12963.4,801.26,35.58,18.7,4.76,0.0
20200406:1510,9384.8,578.13,27.69,18.34,4.55,0.0
20200406:1610,4939.8,325.96,18.77,17.8,3.93,0.0
20200406:1710,883.2,93.88,9.37,16.71,3.17,0.0
20200406:1810,0.0,0.0,0.0,14.78,2.69,0.0
20200406:1910,0.0,0.0,0.0,13.57,2.55,0.0
20200406:2010,0.0,0.0,0.0,12.42,2.55,0.0
20200406:2110,0.0,0.0,0.0,11.19,2.48,0.0
